,Player,Team,DYAR,YAR,Rk.1,DVOA,Rk.2,VOA,QBR,Rk.3,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
20,Anderson,CAR,254,282,19,27.8%,2,32.1%,82.8,2,102,664,870,5,2,0,0,68.4%,0/0
21,Stanton,ARI,238,185,25,4.2%,17,0.7%,58.0,18,252,"1,644","1,576",7,1,0,5,55.2%,4/112
22,Dalton,CIN,237,238,23,-3.7%,25,-3.6%,55.2,23,502,"3,284","2,882",19,0,1,17,64.2%,5/55
23,Cousins,WAS,223,213,24,4.6%,15,3.9%,46.9,29,212,"1,625","1,431",10,0,2,9,62.1%,3/42
24,Sanchez,PHI,210,255,22,-1.4%,23,0.7%,58.2,17,334,"2,226","2,018",14,2,2,11,64.3%,3/64
25,Hoyer,CLE,166,255,21,-5.3%,26,-2.2%,43.1,31,465,"3,170","2,513",12,2,1,12,55.7%,3/32
26,Orton,BUF,131,87,28,-6.8%,27,-8.3%,42.6,32,478,"2,808","2,647",18,0,3,10,64.8%,2/16
27,Glennon,TB,107,161,27,-3.1%,24,1.1%,56.0,20,219,"1,318","1,209",10,2,0,6,57.9%,2/19
28,Kaepernick,SF,91,176,26,-8.4%,29,-5.9%,55.9,21,532,"3,033","2,816",19,1,3,10,60.5%,6/115
29,Whitehurst,TEN,49,80,29,-7.2%,28,-4.6%,39.6,33,200,"1,208","1,050",7,2,0,2,58.0%,0/0
30,Davis,STL,47,-2,30,-8.8%,30,-11.2%,37.6,37,312,"1,819","1,687",12,2,3,9,63.8%,2/40
31,ayer,Team,DYAR,YAR,Rk,DVOA,Rk,VOA,QBR,Rk,Passes,Yards,EYds,TD,FK,FL,INT,C%,DPI
32,Lindley,ARI,-32,-116,37,-16.5%,36,-30.3%,37.8,36,99,516,444,2,0,0,4,48.4%,2/39
33,Smith,NYJ,-33,-21,32,-12.5%,31,-12.0%,35.4,39,395,"2,328","1,989",13,2,1,13,60.2%,3/41
34,McCoy,WAS,-43,-9,31,-15.9%,35,-12.1%,46.1,30,145,947,663,4,3,1,3,71.1%,2/50
35,Hill,STL,-46,-35,33,-14.1%,32,-13.4%,38.1,35,248,"1,538","1,195",8,5,1,7,63.3%,3/84
36, Manuel,BUF,-53,-36,34,-17.1%,38,-15.2%,19.8,44,136,785,643,5,1,0,3,58.9%,0/0
37,Newton,CAR,-105,-46,35,-14.5%,33,-12.6%,56.9,19,485,"2,841","2,365",18,3,4,11,58.7%,5/60
38,Carr,OAK,-150,-355,41,-14.9%,34,-20.1%,38.4,34,622,"3,071","2,969",21,5,4,12,58.9%,6/102
39,Bridgewater,MIN,-159,-82,36,-16.9%,37,-14.1%,50.2,27,436,"2,656","1,997",14,3,0,11,65.4%,1/7
40,Locker,TEN,-171,-215,38,-27.8%,39,-32.1%,51.1,26,162,912,594,5,1,1,7,59.2%,1/29
41,Mettenberger,TEN,-211,-235,39,-28.7%,40,-30.7%,30.1,41,197,"1,277",669,8,2,2,7,59.8%,0/0
42,Vick,NYJ,-228,-273,40,-36.8%,42,-41.8%,22.2,42,138,494,408,3,1,1,2,54.2%,1/32
43,Griffin,WAS,-374,-372,42,-34.2%,41,-34.1%,30.8,40,250,"1,452",803,4,4,2,6,69.2%,1/10
44,McCown,TB,-665,-576,43,-41.9%,44,-37.8%,35.7,38,360,"1,971",833,11,5,4,14,57.0%,2/62
45,Bortles,JAC,-955,-935,44,-40.7%,43,-40.0%,21.9,43,530,"2,554","1,310",11,5,0,16,59.1%,6/61
